,Launch Site,Lat,Long,class,marker_color
0,CCAFS LC-40,28.56230197,-80.57735648,0,red
1,CCAFS LC-40,28.56230197,-80.57735648,0,red
2,CCAFS LC-40,28.56230197,-80.57735648,0,red
3,CCAFS LC-40,28.56230197,-80.57735648,0,red
4,CCAFS LC-40,28.56230197,-80.57735648,0,red
5,CCAFS LC-40,28.56230197,-80.57735648,0,red
6,CCAFS LC-40,28.56230197,-80.57735648,0,red
7,CCAFS LC-40,28.56230197,-80.57735648,0,red
8,CCAFS LC-40,28.56230197,-80.57735648,0,red
9,CCAFS LC-40,28.56230197,-80.57735648,0,red
10,CCAFS LC-40,28.56230197,-80.57735648,0,red
11,CCAFS LC-40,28.56230197,-80.57735648,0,red
12,CCAFS LC-40,28.56230197,-80.57735648,0,red
13,CCAFS LC-40,28.56230197,-80.57735648,0,red
14,CCAFS LC-40,28.56230197,-80.57735648,0,red
15,CCAFS LC-40,28.56230197,-80.57735648,0,red
16,CCAFS LC-40,28.56230197,-80.57735648,0,red
17,CCAFS LC-40,28.56230197,-80.57735648,1,green
18,CCAFS LC-40,28.56230197,-80.57735648,1,green
19,CCAFS LC-40,28.56230197,-80.57735648,0,red
20,CCAFS LC-40,28.56230197,-80.57735648,1,green
21,CCAFS LC-40,28.56230197,-80.57735648,1,green
22,CCAFS LC-40,28.56230197,-80.57735648,1,green
23,CCAFS LC-40,28.56230197,-80.57735648,0,red
24,CCAFS LC-40,28.56230197,-80.57735648,1,green
25,CCAFS LC-40,28.56230197,-80.57735648,1,green
26,VAFB SLC-4E,34.63283416,-120.6107455,0,red
27,VAFB SLC-4E,34.63283416,-120.6107455,0,red
28,VAFB SLC-4E,34.63283416,-120.6107455,1,green
29,VAFB SLC-4E,34.63283416,-120.6107455,1,green
30,VAFB SLC-4E,34.63283416,-120.6107455,1,green
31,VAFB SLC-4E,34.63283416,-120.6107455,1,green
32,VAFB SLC-4E,34.63283416,-120.6107455,0,red
33,VAFB SLC-4E,34.63283416,-120.6107455,0,red
34,VAFB SLC-4E,34.63283416,-120.6107455,0,red
35,VAFB SLC-4E,34.63283416,-120.6107455,0,red
36,KSC LC-39A,28.57325457,-80.64689529,1,green
37,KSC LC-39A,28.57325457,-80.64689529,0,red
38,KSC LC-39A,28.57325457,-80.64689529,1,green
39,KSC LC-39A,28.57325457,-80.64689529,1,green
40,KSC LC-39A,28.57325457,-80.64689529,0,red
41,KSC LC-39A,28.57325457,-80.64689529,1,green
42,KSC LC-39A,28.57325457,-80.64689529,1,green
43,KSC LC-39A,28.57325457,-80.64689529,0,red
44,KSC LC-39A,28.57325457,-80.64689529,1,green
45,KSC LC-39A,28.57325457,-80.64689529,1,green
46,KSC LC-39A,28.57325457,-80.64689529,1,green
47,KSC LC-39A,28.57325457,-80.64689529,1,green
48,KSC LC-39A,28.57325457,-80.64689529,1,green
49,CCAFS SLC-40,28.56319718,-80.57682003,1,green
50,CCAFS SLC-40,28.56319718,-80.57682003,1,green
51,CCAFS SLC-40,28.56319718,-80.57682003,0,red
52,CCAFS SLC-40,28.56319718,-80.57682003,0,red
53,CCAFS SLC-40,28.56319718,-80.57682003,0,red
54,CCAFS SLC-40,28.56319718,-80.57682003,1,green
55,CCAFS SLC-40,28.56319718,-80.57682003,0,red
